date,population,admission,release,los_1_day,los_2-3_days,los_4-7_days,los_8-14_days,los_15-30_days,los_31-60_days,los_61-90_days,los_91-182_days,los_183-365_days,los_365+_days
2020-06-05,98656.75683586964,1892.9258021144703,2194.5400566045673,633,278,174,186,222,112,65,107,0,0
2020-06-06,98848.16639090335,2385.9496116382797,1066.9782850427957,579,105,69,51,63,20,11,30,0,0
2020-06-07,99504.22629558742,1723.0381897268578,1244.5652813797922,558,166,98,68,116,53,13,25,0,0
2020-06-08,101924.19096217625,1507.5299479686162,2697.6293642373535,641,647,342,266,396,226,70,116,0,0
2020-06-09,101626.56455132399,2317.0029533850998,2985.3551270039984,657,243,334,200,179,111,84,170,0,0
2020-06-10,102428.22812826172,2888.018703941733,2578.2136385941894,754,281,278,172,207,116,52,143,0,0
2020-06-11,102422.35115071578,2572.3366610482394,2713.0842268294837,772,367,220,213,229,128,65,133,0,0
2020-06-12,102462.7496633659,2753.482739479612,2326.4148053418803,817,358,172,165,182,102,56,99,0,0
2020-06-13,102383.00974626397,2246.6748882399424,1075.2683406954154,447,180,80,62,60,38,10,26,0,0
2020-06-14,103144.19205138425,1836.4506458157002,1034.323896250971,452,177,85,62,51,27,13,30,0,0
2020-06-15,103776.48546761565,1666.6173124823667,2614.9044157314906,619,608,344,188,181,125,67,116,0,0
2020-06-16,103455.29360246177,2293.712550577605,2460.6544157314906,659,319,383,197,166,139,58,128,0,0
2020-06-17,103498.72395953009,2361.084772799827,2406.6544157314906,657,294,318,223,205,126,62,123,0,0
2020-06-18,103393.15431659843,2301.084772799827,2433.7621452000894,669,368,250,245,214,143,64,127,0,0
2020-06-19,103403.77452873923,2444.38235734089,2518.7621452000894,750,346,229,239,194,125,59,134,0,0
2020-06-20,103337.89474088003,2452.88235734089,1079.9911661791107,521,160,92,75,52,25,7,35,0,0
2020-06-21,104024.39374089963,1766.4901661986987,974.9911661791106,454,172,80,56,44,27,15,30,0,0
2020-06-22,104762.89274091921,1713.4901661986987,2742.7967217346663,694,644,346,208,169,151,49,136,0,0
2020-06-23,104412.51033068239,2392.414311497844,2500.4535288164734,619,310,382,294,226,156,57,117,0,0
2020-06-24,104413.30087526853,2501.244073402606,3810.9535288164734,723,370,329,269,263,209,83,206,0,0
2020-06-25,104215.09141985465,3612.744073402606,2671.90347774395,696,374,234,258,289,142,48,168,0,0
2020-06-26,104170.55742693086,2627.369484820152,2294.4759848313406,718,389,246,219,188,127,45,88,0,0
2020-06-27,104298.31093432683,2422.2294922273186,1123.9759848313408,489,151,96,67,71,47,15,47,0,0
2020-06-28,104969.89777505615,1795.5628255606518,1019.9237962791523,426,192,72,54,64,27,9,25,0,0
2020-06-29,105589.19252824337,1639.2185494663756,2652.665689190163,615,616,411,205,209,132,46,127,0,0
